potential (V),current density (mA/cm2)
1.089,3.61E+00
1.09,3.62E+00
1.091,3.62E+00
1.092,3.63E+00
1.093,3.63E+00
1.094,3.64E+00
1.095,3.64E+00
1.096,3.65E+00
1.097,3.65E+00
1.098,3.66E+00
1.099,3.67E+00
1.1,3.67E+00
1.101,3.68E+00
1.102,3.68E+00
1.103,3.69E+00
1.104,3.69E+00
1.105,3.70E+00
1.106,3.70E+00
1.107,3.71E+00
1.108,3.71E+00
1.109,3.72E+00
1.11,3.73E+00
1.111,3.73E+00
1.112,3.74E+00
1.113,3.74E+00
1.114,3.75E+00
1.115,3.76E+00
1.116,3.76E+00
1.117,3.77E+00
1.118,3.77E+00
1.119,3.78E+00
1.12,3.79E+00
1.121,3.79E+00
1.122,3.80E+00
1.123,3.80E+00
1.124,3.81E+00
1.125,3.81E+00
1.126,3.82E+00
1.127,3.82E+00
1.128,3.83E+00
1.129,3.83E+00
1.13,3.84E+00
1.131,3.84E+00
1.132,3.85E+00
1.133,3.85E+00
1.134,3.86E+00
1.135,3.87E+00
1.136,3.87E+00
1.137,3.88E+00
1.138,3.88E+00
1.139,3.89E+00
1.14,3.90E+00
1.141,3.90E+00
1.142,3.91E+00
1.143,3.92E+00
1.144,3.92E+00
1.145,3.93E+00
1.146,3.93E+00
1.147,3.94E+00
1.148,3.94E+00
1.149,3.95E+00
1.15,3.95E+00
1.151,3.96E+00
1.152,3.96E+00
1.153,3.97E+00
1.154,3.97E+00
1.155,3.98E+00
1.156,3.98E+00
1.157,3.99E+00
1.158,3.99E+00
1.159,4.00E+00
1.16,4.01E+00
1.161,4.01E+00
1.162,4.02E+00
1.163,4.02E+00
1.164,4.03E+00
1.165,4.04E+00
1.166,4.04E+00
1.167,4.05E+00
1.168,4.06E+00
1.169,4.06E+00
1.17,4.07E+00
1.171,4.07E+00
1.172,4.08E+00
1.173,4.09E+00
1.174,4.09E+00
1.175,4.10E+00
1.176,4.10E+00
1.177,4.11E+00
1.178,4.11E+00
1.179,4.12E+00
1.18,4.12E+00
1.181,4.13E+00
1.182,4.13E+00
1.183,4.14E+00
1.184,4.14E+00
1.185,4.15E+00
1.186,4.15E+00
1.187,4.16E+00
1.188,4.16E+00
1.189,4.17E+00
1.19,4.18E+00
1.191,4.18E+00
1.192,4.19E+00
1.193,4.20E+00
1.194,4.20E+00
1.195,4.21E+00
1.196,4.21E+00
1.197,4.22E+00
1.198,4.23E+00
1.199,4.23E+00
1.2,4.24E+00
1.201,4.24E+00
1.202,4.25E+00
1.203,4.25E+00
1.204,4.26E+00
1.205,4.26E+00
1.206,4.27E+00
1.207,4.27E+00
1.208,4.28E+00
1.209,4.28E+00
1.21,4.29E+00
1.211,4.29E+00
1.212,4.30E+00
1.213,4.30E+00
1.214,4.31E+00
1.215,4.32E+00
1.216,4.32E+00
1.217,4.33E+00
1.218,4.33E+00
1.219,4.34E+00
1.22,4.35E+00
1.221,4.35E+00
1.222,4.36E+00
1.223,4.37E+00
1.224,4.37E+00
1.225,4.38E+00
1.226,4.38E+00
1.227,4.39E+00
1.228,4.40E+00
1.229,4.40E+00
1.23,4.41E+00
1.231,4.41E+00
1.232,4.41E+00
1.233,4.42E+00
1.234,4.42E+00
1.235,4.43E+00
1.236,4.43E+00
1.237,4.44E+00
1.238,4.44E+00
1.239,4.45E+00
1.24,4.45E+00
1.241,4.46E+00
1.242,4.47E+00
1.243,4.47E+00
1.244,4.48E+00
1.245,4.48E+00
1.246,4.49E+00
1.247,4.50E+00
1.248,4.50E+00
1.249,4.51E+00
1.25,4.52E+00
1.251,4.52E+00
1.252,4.53E+00
1.253,4.53E+00
1.254,4.54E+00
1.255,4.55E+00
1.256,4.55E+00
1.257,4.56E+00
1.258,4.56E+00
1.259,4.56E+00
1.26,4.57E+00
1.261,4.57E+00
1.262,4.58E+00
1.263,4.58E+00
1.264,4.59E+00
1.265,4.59E+00
1.266,4.60E+00
1.267,4.61E+00
1.268,4.61E+00
1.269,4.62E+00
1.27,4.62E+00
1.271,4.63E+00
1.272,4.64E+00
1.273,4.64E+00
1.274,4.65E+00
1.275,4.66E+00
1.276,4.66E+00
1.277,4.67E+00
1.278,4.68E+00
1.279,4.68E+00
1.28,4.69E+00
1.281,4.69E+00
1.282,4.70E+00
1.283,4.70E+00
1.284,4.71E+00
1.285,4.71E+00
1.286,4.72E+00
1.287,4.72E+00
1.288,4.73E+00
1.289,4.73E+00
1.29,4.73E+00
1.291,4.74E+00
1.292,4.75E+00
1.293,4.75E+00
1.294,4.76E+00
1.295,4.76E+00
1.296,4.77E+00
1.297,4.77E+00
1.298,4.78E+00
1.299,4.79E+00
1.3,4.79E+00
1.301,4.80E+00
1.302,4.81E+00
1.303,4.81E+00
1.304,4.82E+00
1.305,4.83E+00
1.306,4.83E+00
1.307,4.84E+00
1.308,4.84E+00
1.309,4.85E+00
1.31,4.85E+00
1.311,4.86E+00
1.312,4.86E+00
1.313,4.87E+00
1.314,4.87E+00
1.315,4.88E+00
1.316,4.88E+00
1.317,4.89E+00
1.318,4.89E+00
1.319,4.90E+00
1.32,4.90E+00
1.321,4.91E+00
1.322,4.91E+00
1.323,4.92E+00
1.324,4.93E+00
1.325,4.93E+00
1.326,4.94E+00
1.327,4.95E+00
1.328,4.95E+00
1.329,4.96E+00
1.33,4.97E+00
1.331,4.97E+00
1.332,4.98E+00
1.333,4.98E+00
1.334,4.99E+00
1.335,4.99E+00
1.336,5.00E+00
1.337,5.00E+00
1.338,5.01E+00
1.339,5.01E+00
1.34,5.02E+00
1.341,5.02E+00
1.342,5.03E+00
1.343,5.03E+00
1.344,5.04E+00
1.345,5.04E+00
1.346,5.05E+00
