#Point,X(min),Y(Counts)
245,0.082,7.41E-05
246,0.082,7.40E-05
247,0.083,7.38E-05
248,0.083,7.48E-05
249,0.083,7.58E-05
250,0.084,7.74E-05
251,0.084,7.79E-05
252,0.084,7.83E-05
253,0.085,7.94E-05
254,0.085,7.78E-05
255,0.085,7.41E-05
256,0.086,7.09E-05
257,0.086,7.25E-05
258,0.086,7.50E-05
259,0.087,7.54E-05
260,0.087,7.41E-05
261,0.087,7.34E-05
262,0.088,7.20E-05
263,0.088,7.21E-05
264,0.088,7.13E-05
265,0.089,7.14E-05
266,0.089,7.02E-05
267,0.089,6.95E-05
268,0.09,6.98E-05
269,0.09,7.02E-05
270,0.09,7.15E-05
271,0.091,7.17E-05
272,0.091,7.16E-05
273,0.091,7.10E-05
274,0.092,7.05E-05
275,0.092,6.99E-05
276,0.092,7.02E-05
277,0.093,7.07E-05
278,0.093,7.08E-05
279,0.093,7.03E-05
280,0.094,6.96E-05
281,0.094,6.96E-05
282,0.094,6.81E-05
283,0.095,6.68E-05
284,0.095,6.82E-05
285,0.095,7.12E-05
286,0.096,7.30E-05
287,0.096,7.28E-05
288,0.096,7.28E-05
289,0.097,7.29E-05
290,0.097,7.09E-05
291,0.097,7.00E-05
292,0.098,7.09E-05
293,0.098,7.37E-05
294,0.098,7.43E-05
295,0.099,7.32E-05
296,0.099,7.13E-05
297,0.099,7.20E-05
298,0.1,7.36E-05
299,0.1,7.48E-05
300,0.1,7.47E-05
301,0.101,7.55E-05
302,0.101,7.60E-05
303,0.101,7.55E-05
304,0.102,7.62E-05
305,0.102,7.65E-05
306,0.102,7.57E-05
307,0.103,7.31E-05
308,0.103,7.17E-05
309,0.103,7.18E-05
310,0.104,7.18E-05
311,0.104,7.10E-05
312,0.104,7.10E-05
313,0.105,7.18E-05
314,0.105,7.40E-05
315,0.105,7.52E-05
316,0.106,7.54E-05
317,0.106,7.59E-05
318,0.106,7.61E-05
319,0.107,7.62E-05
320,0.107,7.52E-05
321,0.107,7.50E-05
322,0.108,7.50E-05
323,0.108,7.46E-05
324,0.108,7.36E-05
325,0.109,7.29E-05
326,0.109,7.18E-05
327,0.109,7.15E-05
328,0.11,7.05E-05
329,0.11,7.06E-05
330,0.11,7.02E-05
331,0.111,7.14E-05
332,0.111,7.27E-05
333,0.111,7.47E-05
334,0.112,7.45E-05
335,0.112,7.41E-05
336,0.112,7.22E-05
337,0.113,7.11E-05
338,0.113,7.11E-05
339,0.113,7.06E-05
340,0.114,7.00E-05
341,0.114,6.87E-05
342,0.114,6.84E-05
343,0.115,6.80E-05
344,0.115,6.87E-05
345,0.115,7.13E-05
346,0.116,7.35E-05
347,0.116,7.34E-05
348,0.116,7.05E-05
349,0.117,6.84E-05
350,0.117,6.82E-05
351,0.117,6.85E-05
352,0.118,6.95E-05
353,0.118,6.98E-05
354,0.118,7.06E-05
355,0.119,6.96E-05
356,0.119,6.80E-05
357,0.119,6.72E-05
