2.941-2.962 min,,
#Point,X(Thompsons),Y(Counts)
2,32,1570.002686
3,33,211.9225464
4,34,288.8317566
5,35,383.2946472
6,36,540.5826416
7,37.1,4909.769043
8,38.1,5415.000488
9,39.1,11497.52832
10,40,678.3162231
11,41,296.1252136
12,41.9,14.3515501
13,42,202.9393463
14,43,1035.122192
15,44,1459.303833
16,45,2674.682617
17,46,977.7232666
18,47,1587.738159
19,48,1883.296143
20,49.1,8047.817383
21,50.1,47695.43359
22,51.1,65714.57031
23,52.1,20918.81641
24,53,2778.677002
25,53.9,7.964105129
26,54.1,90.75669861
27,54.9,42.71831512
28,55,926.8421631
29,55.9,57.32113266
30,56,310.5983582
31,57,430.3224487
32,57.9,22.41699219
33,58,262.487854
34,58.9,158.5018921
35,59.1,229.8459015
36,60,1638.17688
37,61,15448.99414
38,62,25210.06055
39,63,41403.52734
40,64.5,14052.83984
41,65.9,221.9447174
42,67,103.3749084
43,68,16.85946846
44,69,145.905899
45,69.1,207.7428284
46,70,315.9679565
47,70.9,9.022507668
48,71.1,36.56031418
49,72,732.7230225
50,73,12218.34668
51,74,74333.71875
52,75.1,102784.3281
53,76.1,86719.64844
54,77,19725.95703
55,78,9650.137695
56,79,755.7527466
57,80,404.7330933
58,80.9,15.02481079
59,81,92.35056305
60,81.1,5.686553478
61,81.9,7.89834404
62,82,91.22859955
63,82.9,24.35122871
64,83.1,99.62271118
65,83.9,42.47420883
66,84,1075.994995
67,85,4114.587891
68,86,7493.848145
69,87,9316.456055
70,88,3295.902588
71,89,473.5923157
72,90,1000.200195
73,91,318.2568665
74,92,151.7052155
75,93.9,30.67134285
76,94,152.1349487
77,94.9,4.845417976
78,95,11.19188976
79,96,351.113739
80,97,3649.722412
81,98,18072.87305
82,99,6476.867188
83,100,3986.539063
84,101.1,66083.3125
85,102.1,372125.2188
86,103.1,33932.27344
87,104,1592.375366
88,105,92.61811066
89,105,822.8814087
90,105.9,18.4963913
91,106,83.00666809
92,106.9,60.60219955
93,107.1,11.47521305
94,107.9,22.55064011
95,108,220.7209015
96,109,1080.322388
97,110,1289.71936
98,111,551.4287109
99,112,90.62184143
100,113,3793.782227
101,114,1899.159058
102,115,388.5395813
103,115.9,6.356768608
104,116,105.5746155
105,117,15.20141029
106,117.8,8.22097683
107,118,16.37583733
108,118.9,6.447805882
109,119.1,16.07462692
110,119.9,15.66655254
111,120,95.19457245
112,121.1,5.454805851
113,121.9,43.0392189
114,123,22.05690193
115,124,19.48276711
116,124.9,11.11797523
117,125,99.68862915
118,126.1,281.5343933
119,126.9,15.03879166
120,127,555.1596069
121,128.1,52.8697052
122,129,304546.9063
123,130.1,325145.625
124,131,33201.10547
125,132,2299.569336
126,133,169.2897797
127,134,54.77370834
128,139,120.2484207
129,140,89.84030151
130,141,88.76358795
131,142.1,425.8201294
132,143,14.27230835
133,149,17.15185356
134,150,35.29547501
135,150.8,12.10353184
136,152,35.26995468
137,153.1,13.18984699
138,153.9,5.699776649
139,155,21.30684662
140,155.9,14.24386311
141,156,110.1976776
142,156.2,9.038682938
143,157.1,27.6130619
144,158.1,6.687031746
145,162.9,22.80282021
146,163,5.746620178
147,175.9,4.970518589
148,176.1,24.46783638
149,176.9,18.87046051
150,178,25.32348633
151,190.8,7.06528759
152,191,23.41023445
153,202,92.24176788
154,203,139.9350739
155,204.1,40.89315033
156,204.9,10.47656631
157,207,204.347168
158,208,26.02609444
159,208.8,4.746058464
160,214,20.38528633
161,215,37.29406738
162,231,32.21121979
163,231.1,190.1149902
164,232,21.27658653
165,232.1,21.66506958
166,252.9,272.8426819
167,253.1,20.12233162
168,254,65.95043182
169,254.1,5.004533768
170,255,22.72807121
171,259.1,156.6337128
172,260,41.67395401
173,280.9,20.05953217
174,281,5.076570511
175,281.1,9.806509018
176,330.9,25.63599777
177,331.1,15.3895483
178,345.8,5.198866844
179,346,11.10586262
4.243-4.302 min,,
#Point,X(Thompsons),Y(Counts)
0,30.1,1069.623657
1,31.1,1273.286011
2,32,1359.380371
3,33,127.6169128
4,33.1,11.83692932
5,34,202.4728241
6,35,227.2745819
7,36,207.0300751
8,37.1,2585.203857
9,38.1,5112.890137
10,39.1,18941.68555
11,40.1,1309.347778
12,41.1,950.326416
13,42,422.4802246
14,43,1302.607788
15,44,1426.393433
16,45,1704.939453
