2.406-2.595 min,,
#Point,X(Thompsons),Y(Counts)
0,30,1125.222168
1,31.1,2260.421875
2,32,2441.77832
3,33,1030.977051
4,34,1215.859863
5,35,2066.796143
6,36,78.28414917
7,37,107.9569397
8,39,74.01165771
9,40,275.1800537
10,41,192.2899475
11,41.1,3.093601227
12,42,584.7062988
13,43,1491.921509
14,44,2588.658447
15,45,14923.70313
16,46,5341.113281
17,47,7062.879883
18,48,6475.392578
19,49,1013.57843
20,50,669.5917969
21,51,162.2960052
22,52,37.81724548
23,55,8.127967834
24,56,125.8375931
25,57,464.9928894
26,58,730.6029663
27,59,560.7932739
28,60,319.8168945
29,61,10543.03223
30,62,4820.337891
31,63,50111.48047
32,64,1656.346069
33,65,2480.799561
34,65.9,75.05228424
35,66.9,13.23334217
36,68.9,1.626814365
37,69,35.62692261
38,69.1,6.412745476
39,70,335.3075256
40,73,240.603241
41,74,1.701063037
42,74.9,3.166405678
43,75,13.83594894
44,75.9,55.65232086
45,76,29.49246216
46,77,463.7165222
47,77.1,7.959530354
48,78,40844.375
49,79,7229.611328
50,80,2089.24585
51,81,448.5567322
52,81.9,14.62143326
53,82,8.867658615
54,88,83.97800446
55,88.1,3.537915945
56,88.9,1.629180431
57,90.9,5.359834671
58,91,56.80524445
59,91.1,3.341926575
60,91.9,19.80333519
61,92,50.53414917
62,93,4.961004257
63,94,3442.012451
64,95,145.5491333
65,96,253.1824036
66,102.9,24.63973045
67,105,5.948788166
68,109,22.99603653
69,109.1,7.773645401
70,118.9,1.535919666
71,126,169.8918304
72,132.9,49.64890289
73,133,58.1319313
74,141,1.479727864
75,154.9,17.05125427
76,155,20.88754272
77,190.8,2.549172163
78,190.9,80.75086212
79,191,2.120471239
80,192.9,26.82969093
81,193,7.20617342
82,207,392.5902405
83,207.9,35.09300232
84,208,46.8734436
85,208.1,2.59388113
86,208.8,1.431494355
87,208.9,20.75295448
88,209,6.688077927
89,266.9,30.93452263
90,267,4.029941082
91,281,182.9786377
92,282,13.91708183
93,282,11.3863039
2.600-2.790 min,,
#Point,X(Thompsons),Y(Counts)
0,30,821.3919678
1,31.1,1463.811035
2,32,1910.617188
3,33,542.7175293
4,34,706.8893433
5,35,1212.13855
6,36,737.4350586
7,37.1,4603.875
8,38.1,6486.439941
9,39.1,7654.416504
10,40,1264.204834
11,41,408.4583435
12,42,244.4727631
13,43,1088.061279
14,44,1811.217773
15,45,7744.900391
16,46,2867.611572
17,47,4499.462891
18,48,4938.862793
19,49.1,11088.18262
20,50.1,56176.35156
21,51.1,106322.3281
22,52.1,63178.64063
23,53.1,14675.88379
24,54,942.0016479
25,55,123.5091705
26,55,162.2064819
27,55.8,1.938086033
28,56,110.4131165
29,57,238.2797241
30,58,366.3117676
31,58.9,21.13814354
32,59,294.0254517
33,60,839.3912964
34,61,9042.878906
35,62,6621.435547
36,63,36248.88281
37,64,2636.596924
38,65,1786.323486
39,65.9,2.767728806
40,66,149.9940491
41,66.9,8.141717911
42,67,81.20040131
43,68,56.75916672
44,69,13.78332424
45,70,267.180603
46,73,341.8416748
47,74,1054.695801
48,75,7292.935059
49,76,7680.115234
50,77.1,7086.911621
51,78.1,274785.125
52,79.1,27222.47461
53,80,2667.347412
54,81,287.6321106
55,82,16.65416908
56,85.8,14.88791943
57,86,122.2781601
58,86.9,175.1456299
59,87,44.95793915
60,87.9,27.46808052
61,88,200.8556824
62,88.8,2.028273106
63,89,118.8064499
64,89.1,16.18201447
65,89.9,5.086623192
66,90.1,11.21404552
67,90.9,34.82646561
68,91,119.0255966
69,92,353.5980835
70,92.8,2.978536367
71,92.9,17.77178192
72,93,26.87495613
73,94,1505.208374
74,95,54.14565277
75,95.9,162.7758484
76,96.1,6.450141907
77,100.9,10.19712162
78,102,26.79762459
79,102.8,5.246831417
80,102.9,30.04685402
81,103,9.999752045
82,103.2,2.802851439
83,103.9,9.9575243
84,104,79.36558533
85,104.1,27.89001274
86,105,33.21862793
87,105.1,781.4140625
88,106,210866.3438
89,107,371573.5625
90,108,28488.30859
91,109,1748.406738
92,110,79.27107239
93,115.1,1.746297717
94,119,1.513218164
95,121.9,1.607327938
96,122,1.418848038
97,125.9,7.285979271
98,126,76.43149567
99,126.1,8.883580208
100,129.9,3.278466463
101,130,2.664679527
102,132.9,64.10022736
103,133,21.92939758
104,154.8,8.473888397
105,154.9,37.53733826
106,155.1,1.784300923
107,155.9,2.729165792
108,156,9.832279205
109,156.9,3.971696138
110,157,74.67636108
111,157.1,5.000108242
112,158,33.78145981
113,185,131.2491608
114,185.1,5.194447994
115,186,6.197225571
116,190.9,30.01670074
117,191,49.9098053
118,191,4.120258331
119,192.9,2.928431988
120,197,6.165960312
121,207,482.1007385
122,208,96.43838501
123,208,8.188634872
124,208.9,45.95232773
125,209.1,3.489510059
126,266.9,23.28414345
127,266.9,71.12516022
128,280.8,2.481394053
129,281,124.6151276
130,281.1,8.053419113
131,281.9,8.235512733
132,355,48.03979492
3.243-3.287 min,,
#Point,X(Thompsons),Y(Counts)
0,30.1,3480.007568
1,31,930.1682739
2,32,2608.734863
3,33,338.2554016
4,34,578.4821777
5,35,513.3891602
6,36,131.1457825
7,37,693.0898438
8,38.1,1168.478882
9,39.1,15006.46387
10,40.1,3671.305908
11,41.1,51330.77734
12,42.1,20763.71484
13,43.1,13587.81738
14,44.1,3173.078857
15,45,3939.339844
16,46,2009.546875
17,47,2532.874268
18,48,2106.12207
19,49,1306.789551
20,50,5521.450195
21,51.1,10191.78711
22,52.1,5935.890137
23,53.1,8491.364258
24,54.1,3596.724121
25,55.1,57187.79688
26,56.1,68719.4375
27,57.1,18669.13281
28,58.1,19591
29,59.1,1314.075684
30,60,1125.929077
31,61,2962.426514
32,62,1761.773071
33,63,13640.42773
34,64,717.2778931
35,65,2659.914795
36,66,864.5157471
37,67.1,13720.21582
38,68.1,6166.552734
39,69.1,110870.0547
40,70.1,52942.13672
41,71.1,6106.321777
42,72.1,5210.396484
43,73.1,12798.12109
44,74.1,30030.40625
45,75.1,1850.455078
46,76,783.4661255
47,77,2572.083496
48,78,31243.54883
49,79.1,7298.806641
50,80,2138.70874
51,81.1,25598.40234
52,82.1,12281.86133
53,83.1,20263.52148
54,84.1,10289.34277
55,85.1,2665.956543
56,86.1,10535.05957
57,87,876.7512817
58,88.1,1451.785645
59,88.9,12.23816013
60,89,131.3434448
61,90,7.224597454
62,90.1,15.90980053
63,91,1449.432739
64,92,434.7167664
65,93.1,1912.801025
66,94.1,2126.933838
67,95.1,4361.827148
68,96.1,6953.403809
69,97.1,6844.402344
70,98.1,10741.57324
71,99.1,1951.439209
72,100.1,1770.434692
73,101,108.2118607
74,102,64.32151794
75,102.9,112.0019836
76,103.9,12.23870182
77,104,44.71336365
78,105,535.2416992
79,106,15932.59766
80,107,29197.51367
81,108.1,3868.312988
82,109.1,34318.21094
83,110.1,7055.310059
84,111.1,4809.794922
85,112.1,1504.258057
86,113.1,1220.010254
87,114.1,5757.708984
88,114.9,14.03351212
89,115.1,449.0509644
90,115.9,20.53380013
91,117,21.24080849
92,118.9,8.822517395
93,119,90.61066437
94,119.9,17.96092415
95,120,40.03337479
96,121,51.75642776
97,121.1,445.429718
98,122,27.67333221
99,122.1,692.4445801
100,123.1,11645.48438
101,124.1,7590.735352
102,125.1,3267.102051
103,126.1,54665.06641
104,127.1,5182.669922
105,128,25.1456852
106,128.1,413.1118164
107,129,18.25604248
108,129.1,6.726145267
109,132.9,115.3387833
110,133.1,30.7396946
111,134.9,11.82081985
112,135,49.07600403
113,136,244.0476685
114,137,17.29261208
115,137.1,105.4340286
116,138.1,911.0983887
117,139.1,448.9526367
118,140.1,772.9793091
119,141.1,25692.11328
120,142.1,70108.48438
121,143.1,6578.294922
122,144.1,436.9131165
123,145,13.33499908
124,146.9,45.40687943
125,147.1,5.594853878
126,154,93.7042923
127,154.9,11.90204716
128,155,17.35045242
129,156.1,29157.05273
130,157.1,8389.935547
131,158,18.63947868
132,158.1,798.6392822
133,159.1,43.52892685
134,162.9,44.34305573
135,164.9,6.536284447
136,176.9,65.3841095
137,179,7.41383791
138,190.9,157.0856781
139,192.9,31.68220711
140,193,56.97835159
141,207,940.4518433
142,208,202.2342682
143,209,117.6341171
144,248.8,7.342358112
145,248.9,33.3195076
146,251,33.35025787
147,252.9,41.37783813
148,267,456.2020264
149,267.8,7.491360188
150,268,103.0890198
151,268.8,6.622364998
152,268.9,70.40168762
153,280.9,96.97738647
154,281,39.02447128
155,282,7.430971622
156,340.9,17.5926609
157,341,42.92928696
158,355,287.6607361
159,356,97.05166626
160,357,63.58552933
161,358,12.21924686
162,360,21.29790306
3.497-4.318 min,,
#Point,X(Thompsons),Y(Counts)
0,30,195.7506714
1,31,1153.050293
2,32,2058.621094
3,32.9,0.515220165
4,33,175.4687805
5,34,203.8436432
6,35,346.6269531
7,36,181.306366
8,37,835.3660278
9,38,1398.042358
10,39.1,3906.546143
11,40,842.8056641
12,41,619.5552979
13,42,350.6365356
14,43,673.0122681
15,44,1812.352905
16,45,2706.555176
17,46,921.7147827
18,47,1573.984253
19,48,1440.698486
20,49,1207.922485
21,50,4786.98291
22,51,7544.759766
23,52,5094.810059
24,53.1,7185.580078
25,53.9,1.081669211
26,54,1462.677856
27,55,1059.319946
28,56,230.3901215
29,56.9,24.99467087
30,57,101.3500443
31,57.9,38.47431564
32,58,159.8104706
33,58.9,108.0988541
34,59,27.67038727
35,60,226.5056152
36,61,2180.933105
37,62,1807.797363
38,63,9111.847656
39,64,2524.460693
40,65,3517.112793
41,66,258.3169861
42,66,153.5621796
43,66.9,7.076632023
44,67,166.1620789
45,67.9,4.667665958
46,68,86.41349792
47,68,2.442730188
48,68.9,13.08962345
49,69,160.7988434
50,69.9,16.7354641
51,70,211.7060089
52,71,4.855121136
