#Point,X(min),Y(Counts)
265,0.089,0.00010633
266,0.089,0.000106571
267,0.089,0.000107838
268,0.09,0.000108741
269,0.09,0.00010779
270,0.09,0.000106625
271,0.091,0.000105832
272,0.091,0.000104793
273,0.091,0.000105808
274,0.092,0.000107369
275,0.092,0.000109071
276,0.092,0.000109752
277,0.093,0.000108479
278,0.093,0.000108302
279,0.093,0.000106916
280,0.094,0.000106325
281,0.094,0.000105401
282,0.094,0.000103954
283,0.095,0.000102036
284,0.095,0.000100643
285,0.095,0.000102198
286,0.096,0.000103952
287,0.096,0.000104715
288,0.096,0.000105223
289,0.097,0.000107957
290,0.097,0.000110766
291,0.097,0.000112244
292,0.098,0.000112017
293,0.098,0.000110217
294,0.098,0.000109688
295,0.099,0.000108855
296,0.099,0.000110439
297,0.099,0.000111537
298,0.1,0.00011112
299,0.1,0.000109668
300,0.1,0.000107603
301,0.101,0.000107259
302,0.101,0.000106348
303,0.101,0.000104715
304,0.102,0.000104002
305,0.102,0.000105431
306,0.102,0.000108081
307,0.103,0.000108505
308,0.103,0.000107778
309,0.103,0.000106608
310,0.104,0.000106735
311,0.104,0.000105362
312,0.104,0.000104184
313,0.105,0.0001022
314,0.105,0.000101651
315,0.105,0.000102704
316,0.106,0.000104407
317,0.106,0.000106032
318,0.106,0.000106392
319,0.107,0.000106711
320,0.107,0.000106506
321,0.107,0.000104339
322,0.108,0.000102439
323,0.108,0.000101435
324,0.108,0.000101755
325,0.109,0.000101375
326,0.109,0.00010024
327,0.109,0.00010052
328,0.11,0.000102167
329,0.11,0.000103763
330,0.11,0.000103463
331,0.111,0.000102492
332,0.111,0.000102225
333,0.111,0.000103061
334,0.112,0.000103262
335,0.112,0.000101835
336,0.112,9.98E-05
337,0.113,0.000102457
338,0.113,0.000106981
339,0.113,0.000110941
340,0.114,0.000109204
341,0.114,0.000105418
342,0.114,0.000103451
343,0.115,0.000103398
344,0.115,0.000104798
345,0.115,0.000104993
346,0.116,0.000106526
347,0.116,0.00010796
348,0.116,0.000107297
349,0.117,0.000103763
350,0.117,0.0001003
351,0.117,9.95E-05
352,0.118,0.000102076
353,0.118,0.000105622
354,0.118,0.000107835
355,0.119,0.000107451
356,0.119,0.000105231
357,0.119,0.000102786
358,0.12,0.000101836
359,0.12,0.00010406
360,0.12,0.000107315
361,0.121,0.000108343
362,0.121,0.000106274
363,0.121,0.000104511
364,0.122,0.000104874
365,0.122,0.000104393
366,0.122,0.000104347
367,0.123,0.000102946
368,0.123,0.000104098
369,0.123,0.000106047
370,0.124,0.000108559
371,0.124,0.000108996
372,0.124,0.000107665
373,0.125,0.000107157
374,0.125,0.000107721
375,0.125,0.000107337
376,0.126,0.000104434
377,0.126,0.000101438
378,0.126,0.000101926
379,0.127,0.000102079
380,0.127,0.000102217
381,0.127,0.000102114
382,0.128,0.000103137
383,0.128,0.00010245
384,0.128,0.00010277
385,0.129,0.00010647
386,0.129,0.000109352
387,0.129,0.000107498
388,0.13,0.000102021
389,0.13,0.000100248
390,0.13,0.000100204
391,0.131,0.000102336
392,0.131,0.000103181
393,0.131,0.000104019
394,0.132,0.000104514
395,0.132,0.00010434
396,0.132,0.000103905
397,0.133,0.000103852
398,0.133,0.000104202
399,0.133,0.000105183
400,0.134,0.000104938
401,0.134,0.000104904
402,0.134,0.00010592
403,0.135,0.000105844
404,0.135,0.000104259
405,0.135,0.000102553
406,0.136,0.000101418
407,0.136,0.000102331
408,0.136,0.00010307
409,0.137,0.000103235
410,0.137,0.000103479
411,0.137,0.000101799
412,0.138,0.00010009
413,0.138,0.000100149
414,0.138,0.000101291
415,0.139,0.000104074
416,0.139,0.00010551
417,0.139,0.000104799
418,0.14,0.000103539
419,0.14,0.000101754
420,0.14,0.000102086
421,0.141,0.000103026
422,0.141,0.000103975
423,0.141,0.000104537
424,0.142,0.000103662
425,0.142,0.000102389
426,0.142,0.000103797
427,0.143,0.000108208
428,0.143,0.000110718
429,0.143,0.000108902
430,0.144,0.000105006
431,0.144,0.000105321
432,0.144,0.000106727
433,0.145,0.000107967
434,0.145,0.000108629
435,0.145,0.000108258
436,0.146,0.000107941
437,0.146,0.000106256
438,0.146,0.000106599
439,0.147,0.000106541
440,0.147,0.000105561
441,0.147,0.000103774
442,0.148,0.000102524
443,0.148,0.000100916
444,0.148,0.000101078
445,0.149,0.000102537
446,0.149,0.000101734
447,0.149,9.90E-05
448,0.15,9.57E-05
449,0.15,9.47E-05
450,0.15,9.62E-05
451,0.151,9.90E-05
452,0.151,0.000101263
453,0.151,0.000101272
454,0.152,9.97E-05
455,0.152,9.95E-05
456,0.152,0.000100624
457,0.153,0.000103139
458,0.153,0.000104948
459,0.153,0.000105048
460,0.154,0.000103726
461,0.154,0.000104438
462,0.154,0.000105119
463,0.155,0.000103217
464,0.155,0.00010019
465,0.155,9.90E-05
466,0.156,1.00E-04
467,0.156,0.000100801
468,0.156,0.000102361
469,0.157,0.000104235
470,0.157,0.000107859
471,0.157,0.000109719
472,0.158,0.000108746
473,0.158,0.000105769
474,0.158,0.000104425
475,0.159,0.000106364
476,0.159,0.000107133
477,0.159,0.00010475
478,0.16,0.000101
479,0.16,0.000100062
480,0.16,0.00010049
481,0.161,0.000102672
482,0.161,0.000104243
483,0.161,0.000105123
484,0.162,0.000104061
485,0.162,0.000100839
486,0.162,9.79E-05
487,0.163,9.60E-05
488,0.163,9.73E-05
489,0.163,9.98E-05
490,0.164,0.000101772
491,0.164,0.0001029
492,0.164,0.000101744
493,0.165,0.00010048
494,0.165,9.92E-05
495,0.165,0.000100591
496,0.166,0.000102577
497,0.166,0.000102993
498,0.166,0.000104587
499,0.167,0.00010863
500,0.167,0.000111648
501,0.167,0.000110107
502,0.168,0.000106068
503,0.168,0.000103131
504,0.168,0.000103399
505,0.169,0.000102233
506,0.169,0.000101147
507,0.169,0.000101586
508,0.17,0.00010322
509,0.17,0.000104708
510,0.17,0.000104539
511,0.171,0.000104011
512,0.171,0.000103859
513,0.171,0.000102204
514,0.172,0.000101209
515,0.172,0.000101275
516,0.172,0.000102982
517,0.173,0.00010323
518,0.173,0.000101042
519,0.173,9.79E-05
520,0.174,9.65E-05
521,0.174,9.81E-05
522,0.174,0.000101099
523,0.175,0.000102781
524,0.175,0.000102574
525,0.175,0.000101593
526,0.176,0.000102577
527,0.176,0.000103723
528,0.176,0.000104538
529,0.177,0.000101768
530,0.177,9.98E-05
531,0.177,9.89E-05
532,0.178,0.000102775
533,0.178,0.000106231
534,0.178,0.000108423
535,0.179,0.000109816
536,0.179,0.000109357
537,0.179,0.000108922
538,0.18,0.000106662
539,0.18,0.00010491
540,0.18,0.00010415
541,0.181,0.000104631
542,0.181,0.00010631
543,0.181,0.000107074
544,0.182,0.000106134
545,0.182,0.000103355
546,0.182,0.000101545
547,0.183,0.000102003
548,0.183,0.000103237
549,0.183,0.000103467
550,0.184,0.000102847
551,0.184,0.000104411
552,0.184,0.000106238
553,0.185,0.000107205
554,0.185,0.000106706
555,0.185,0.000106418
556,0.186,0.000106926
557,0.186,0.000106808
558,0.186,0.000107625
559,0.187,0.000107167
560,0.187,0.000106485
561,0.187,0.000105133
562,0.188,0.000104813
563,0.188,0.000105773
564,0.188,0.000105917
565,0.189,0.000107376
566,0.189,0.000109117
567,0.189,0.000109002
568,0.19,0.000107199
569,0.19,0.000105277
570,0.19,0.000104788
571,0.191,0.000105667
572,0.191,0.000106981
573,0.191,0.000108693
574,0.192,0.000108388
575,0.192,0.000105405
576,0.192,0.000101888
577,0.193,0.000101716
578,0.193,0.000103143
579,0.193,0.000106058
580,0.194,0.000106993
581,0.194,0.000107937
582,0.194,0.000106581
583,0.195,0.000105021
584,0.195,0.000102841
585,0.195,0.00010203
586,0.196,0.000100316
587,0.196,0.000100238
588,0.196,0.000101326
589,0.197,0.000103823
590,0.197,0.000105001
591,0.197,0.000105252
592,0.198,0.000104586
593,0.198,0.000104557
594,0.198,0.000103035
595,0.199,0.000101778
596,0.199,0.000100818
597,0.199,0.000101912
598,0.2,0.000102708
599,0.2,0.000101207
600,0.2,0.000101098
601,0.201,0.000101276
602,0.201,0.000102355
603,0.201,0.000100316
604,0.202,9.91E-05
605,0.202,9.95E-05
606,0.202,0.000101706
607,0.203,0.000103235
608,0.203,0.000103334
609,0.203,0.000102729
610,0.204,0.00010118
611,0.204,0.000100236
612,0.204,0.000100375
613,0.205,0.000101613
614,0.205,0.000103208
615,0.205,0.00010341
616,0.206,0.00010381
617,0.206,0.000104411
618,0.206,0.000104964
619,0.207,0.000104384
620,0.207,0.000101899
621,0.207,0.00010033
622,0.208,9.94E-05
623,0.208,0.000101022
624,0.208,0.000101632
625,0.209,0.000101809
626,0.209,0.000101463
627,0.209,0.000102294
628,0.21,0.000104491
629,0.21,0.000105001
630,0.21,0.000105169
631,0.211,0.000105585
632,0.211,0.000105685
633,0.211,0.000104008
634,0.212,0.000100974
635,0.212,9.96E-05
636,0.212,9.96E-05
637,0.213,1.00E-04
638,0.213,0.000100723
639,0.213,0.000102261
640,0.214,0.000102871
641,0.214,0.000102805
642,0.214,0.000100983
643,0.215,9.94E-05
644,0.215,9.90E-05
645,0.215,9.99E-05
646,0.216,0.000100111
647,0.216,9.92E-05
648,0.216,9.99E-05
649,0.217,0.000101003
650,0.217,0.000102697
651,0.217,0.00010225
652,0.218,0.000100771
653,0.218,9.87E-05
654,0.218,9.70E-05
655,0.219,9.81E-05
656,0.219,0.000100008
657,0.219,0.000103019
658,0.22,0.000104783
659,0.22,0.000104273
660,0.22,0.000103213
661,0.221,0.000101402
662,0.221,0.000102193
663,0.221,0.000103094
664,0.222,0.000103988
665,0.222,0.000102533
666,0.222,0.00010142
667,0.223,0.00010237
668,0.223,0.00010336
669,0.223,0.000103175
670,0.224,0.000102115
