2.341-2.552 min,,
#Point,X(Thompsons),Y(Counts)
80,107.1,459.4092407
81,108.1,720.1506348
82,109.1,14055.21484
83,110.1,2910.351563
84,111.1,1395.627441
85,112.1,553.166748
86,113,337.3523254
87,114,119.019989
88,114.1,1404.064331
89,115,127.58255
90,121,169.3573761
91,122.1,331.8653564
92,123.1,2826.935059
93,124.1,2315.005859
94,125.1,984.3449707
95,126.1,20731.13281
96,127.1,1862.433838
97,128.1,155.4211578
98,128.9,6.957333565
99,136,91.11862183
100,137,58.49020004
101,138,270.7718506
102,139.1,167.8236237
103,140,236.9956665
104,141.1,6735.305176
105,142.1,24673.74414
106,143.1,2303.814941
107,144.1,139.8322906
108,155,23.3436985
109,156.1,6954.14209
110,157.1,2346.454346
111,158.1,263.2377014
112,207,165.7209167
113,280.9,19.24678612
3.994-4.102 min,,
#Point,X(Thompsons),Y(Counts)
0,30,54.35513687
1,31,770.1327515
2,32,2133.70874
3,33,178.4520111
4,34,239.6668701
5,35,364.1874084
6,36,171.3757935
7,37,1420.736816
8,38.1,4280.56543
9,39.1,8637.908203
10,40,589.848999
11,41,311.261261
12,42,295.0565796
13,43,806.2208252
14,44,2179.38208
15,45,2527.787109
16,46,1096.631592
17,47,1401.427979
18,48,1188.710571
19,49,1010.924133
20,50,9094.581055
21,51,10058.1709
22,52,1341.761108
23,53,2378.950195
24,54,544.7163696
25,55,327.5379639
26,56,157.5559387
27,57,194.9998779
28,58,199.0678406
29,59,201.5042572
30,59.1,12.22132778
31,60,374.8336182
32,61,3769.894043
33,62,5762.574219
34,63,26054.61914
35,64,17112.56055
36,65,13315.18164
37,65.9,8.899030685
38,66,1931.720459
39,67,27.87913895
40,67.1,180.8682404
41,67.3,292.854126
42,67.4,136.3850403
43,67.5,57.74590302
44,69,211.8609619
45,70,224.1738739
46,71,95.80018616
47,71.9,6.271674633
48,72,67.70533752
49,73,1069.631348
50,74,5078.511719
51,75,3166.378418
52,76,5205.771973
53,77.1,52009.38281
54,78,13475.41504
55,79.1,4733.197266
56,80,650.3642578
57,81,123.7743759
58,81.9,2.568448544
59,82,58.99741745
60,82.1,2.516021967
61,82.9,22.28343201
62,83,18.07526207
63,83.2,2.9350667
64,83.9,48.72628403
65,84,45.43647003
66,85,157.4076385
67,86,179.0111389
68,86.9,11.18502712
69,87,92.66700745
70,87.8,2.486386538
71,88,51.81759644
72,89,212.9740906
73,89.9,3.753875732
74,90,102.3488083
75,91,1114.891479
76,92,28592.17773
77,93,4528.010254
78,94,621.4598389
79,94.9,12.42691803
80,95,42.57810593
81,95.9,25.73200035
82,96,80.1733551
83,96.9,22.18952179
84,97,28.20744324
85,98,5.904286861
86,103,269.5622864
87,104,1187.93396
88,105,1165.776367
89,105,366.1889954
90,106,570.869751
91,106.9,11.25875664
92,107.1,33319.51563
93,108,3740.916992
94,109,366.8987732
95,110,10.49552727
96,110.2,5.630933285
97,115,2.40671587
98,119,1156.520508
99,120,1817.731445
100,121,1276.820679
101,122,240.8625641
102,122.9,10.18706799
103,126,48.85584641
104,126.1,77.04055786
105,128,5.111586094
106,132.9,175.5480499
107,133,57.24261093
108,134.1,178.0177002
109,135,129615.9531
110,136.1,91232.38281
111,137,8253.669922
112,138,694.0942383
113,139,26.59193611
114,141.9,8.068408966
115,142,68.47491455
116,142.1,2.500863314
117,151,129.1867523
118,151.9,13.16269112
119,152,234.5613556
120,153,18.33751869
121,155.9,5.991790295
122,156,34.05198288
