3.254-3.303 min,,
#Point,X(Thompsons),Y(Counts)
112,117,4112.146973
113,117.9,17.44981956
114,118,798.5232544
115,119,521.7838745
116,120,825.7919922
117,120.9,8.372361183
118,121,69.19621277
119,125,127.6851883
120,126,411.1188965
121,127,1098.552979
122,128,2381.436768
123,129,1992.479004
124,130.1,11082.3291
125,131,1611.346313
126,131.9,5.475225449
127,132,246.1181946
128,133,316.7829895
129,134,666.1000977
130,134.9,32.71525192
131,135,68.48523712
132,138.9,54.40071106
133,140,16.89642143
134,140.9,35.22404861
135,141.9,9.127537727
136,142.1,207.4651642
137,144,34.20224762
138,144.1,7.012528419
139,145,291.2947998
140,145.9,31.50817871
141,146,212.5058136
142,146.9,18.58128929
143,147,434.9389343
144,148.1,20557.29297
145,149.1,2316.861328
146,150,10.35609913
147,150,173.8578644
148,154,38.59355927
149,155,5.887535572
150,155.9,12.68365765
151,156,59.17652512
152,156.1,5.153128624
153,162.8,15.93945503
154,162.9,13.44638062
155,164.9,18.18475533
156,165,2.832121372
157,176.9,49.26725388
158,177,22.21086121
159,190.9,127.9767456
160,192.8,10.08035946
161,192.9,72.77523804
162,193,8.444124222
163,195,3.068482161
164,207,653.593811
165,207.9,99.61000824
166,208,33.4585228
167,208.9,95.33751678
168,209.1,5.235782623
169,252.9,170.4862061
170,253.9,14.21649456
171,266.8,12.55053902
172,267,6.150449276
173,281,119.5411835
174,326.9,2.715946198
175,327,10.24845505
176,331,12.0018425
4.405-4.459 min,,
#Point,X(Thompsons),Y(Counts)
0,30.1,1268.259277
1,31.1,27617.12695
2,32,1320.637695
3,32.9,31.1350174
4,33,129.1523285
5,33.9,22.54726982
6,34,95.94332886
7,35,184.804184
8,35.9,26.7694931
9,36,39.90978622
10,37,589.3547974
11,38.1,2483.114258
12,39.1,33368.06641
13,40.1,3256.67749
14,41.1,22666.25
15,42.1,1994.627686
16,43.1,5207.097168
17,44.1,4663.023438
18,45,2378.136475
19,45.8,155.1345825
20,46,424.7307434
21,47,757.8200684
22,48,579.7337646
23,49,495.0891724
24,50.1,10157.09766
25,51.1,33549.83594
26,52.1,10270.93848
27,53.1,6495.196777
28,54.1,3527.12207
29,55.1,2995.853027
30,56.1,306.5255127
31,57.1,5954.272949
32,57.2,229.0397797
33,57.5,178.1278229
34,58.8,56.11990738
35,59,619.7479858
36,59.9,109.4239273
37,60,51.65863419
38,61,1622.486328
39,62,5368.338379
40,63,27307.68555
41,64.1,7669.859863
42,65.1,124033.5938
43,66.1,8250.77832
44,67,865.09375
45,68,239.9852448
46,69,369.2964172
47,70,374.2237244
48,71,951.8945313
49,71.9,6.916751385
50,72,172.0737
51,72.1,24.47360992
52,73,512.7678223
53,74,3988.915771
54,75,4626.147949
55,76.1,6097.715332
56,77.1,63980.17188
57,78.1,79069.11719
58,79.1,41541.75391
59,80.1,3892.30957
60,81,33.99475479
61,81.1,562.732605
62,81.9,12.46352291
63,82,117.5235062
64,82.9,12.69971561
65,83,193.3610229
66,84,313.0945435
67,85,325.8886414
68,85.9,36.65127563
69,86,1015.178284
70,87,1640.146362
71,88,24.5039978
72,88.1,748.0947876
73,88.2,138.1944733
74,89.1,31708.65039
75,90.1,9520.703125
76,91.1,774723.375
77,92.1,98957.28125
78,93.1,8798.455078
79,94.1,3436.038086
80,95,28.57344818
81,95,590.2988281
82,95.9,174.0101929
83,96.1,172.4434967
