2.309-2.568 min,,
#Point,X(Thompsons),Y(Counts)
9,39.1,6165.322754
10,40,1387.959473
11,41.1,13752.28223
12,42.1,6607.580078
13,43.1,4529.064453
14,44,2955.43457
15,45,6894.883301
16,46,1565.462036
17,47,1926.967896
18,48,1449.553101
19,49,533.3618774
20,50,1246.241821
21,51,1429.846436
22,52,690.6833496
23,53.1,3703.740967
24,54,1305.452026
25,55.1,13569.47363
26,56.1,15121.94629
27,57.1,5454.40332
28,58.1,8301.205078
29,59,944.8917236
30,60,528.9200439
31,61,2746.631836
32,62,1498.531616
33,63,11495.33496
34,64,479.8079529
35,65,1260.995972
36,66,357.7252197
37,67.1,3953.76001
38,68.1,1720.527832
39,69.1,25045.13867
40,70.1,14323.1377
41,71.1,1856.059204
42,72.1,1270.674683
43,73.1,2480.958252
44,74.1,6914.105469
45,75,311.5632019
46,76,103.7790375
47,77,831.6054077
48,78,9539.21875
49,79,2110.235352
50,80,1083.097778
51,81.1,8198.158203
52,82.1,3830.804199
53,83.1,4625.196777
54,84.1,3047.380859
55,85,9034.266602
56,86.1,3456.590332
57,87,648.630127
58,88,346.2197571
59,88.9,25.60077858
60,89,16.27060699
61,91,541.154541
62,92,224.6488953
63,93,724.3883667
64,94,938.0199585
65,94.9,52.17414474
66,95.1,1235.801514
67,96.1,2118.08374
68,97,7581.481934
69,98.1,3287.549072
70,99,748.989502
71,100,412.9253235
72,101,19.5201416
73,101.9,18.26383209
74,102.9,13.08434105
75,104,5.925157547
76,105,140.3830414
77,106,74.19264984
78,107,451.6947021
79,108.1,531.0944824
80,109.1,11003.83105
81,110.1,2231.169922
82,111,2822.93457
83,112,1756.466675
84,113,3371.612793
85,114,9344.075195
86,115,764.0875244
87,116,450.0511169
88,117,6.990621567
89,119.1,6.460220337
90,121,72.48098755
91,121.9,13.63049412
92,122.1,211.7480774
93,123,119.3538513
94,123.1,1664.848145
95,124.1,1615.072632
96,125.1,694.3363647
97,126.1,15360.62109
98,127.1,1403.131104
99,128.1,112.5467987
100,132.9,15.76655388
101,136.1,43.74732971
102,137,25.43759537
103,138.1,166.0149536
104,139.1,120.0687561
105,140,29.18061066
106,140.1,126.1040573
107,141.1,4256.607422
108,142.1,21121.86523
109,143.1,1945.612793
110,144.1,130.0831604
111,155.1,17.27622795
112,156.1,4540.380371
113,157.1,1781.638306
114,158.1,208.4303131
115,207,190.4409027
116,207.9,14.47108269
117,266.9,5.884315491
118,280.9,13.44174671
