#Point,X(min),Y(Counts)
214,0.072,6.38E-05
215,0.072,6.13E-05
216,0.072,6.03E-05
217,0.073,6.13E-05
218,0.073,6.45E-05
219,0.073,6.63E-05
220,0.074,6.72E-05
221,0.074,6.49E-05
222,0.074,6.38E-05
223,0.075,6.29E-05
224,0.075,6.24E-05
225,0.075,6.09E-05
226,0.076,6.12E-05
227,0.076,6.25E-05
228,0.076,6.34E-05
229,0.077,6.35E-05
230,0.077,6.37E-05
231,0.077,6.52E-05
232,0.078,6.50E-05
233,0.078,6.32E-05
234,0.078,6.11E-05
235,0.079,6.08E-05
236,0.079,6.17E-05
237,0.079,6.20E-05
238,0.08,6.26E-05
239,0.08,6.13E-05
240,0.08,6.14E-05
241,0.081,6.30E-05
242,0.081,6.71E-05
243,0.081,6.80E-05
244,0.082,6.58E-05
245,0.082,6.28E-05
246,0.082,6.41E-05
247,0.083,6.66E-05
248,0.083,6.84E-05
249,0.083,6.79E-05
250,0.084,6.73E-05
251,0.084,6.71E-05
252,0.084,6.60E-05
253,0.085,6.40E-05
254,0.085,6.33E-05
255,0.085,6.49E-05
256,0.086,6.71E-05
257,0.086,6.79E-05
258,0.086,6.75E-05
259,0.087,6.63E-05
260,0.087,6.62E-05
261,0.087,6.60E-05
262,0.088,6.55E-05
263,0.088,6.49E-05
264,0.088,6.51E-05
265,0.089,6.57E-05
266,0.089,6.54E-05
267,0.089,6.47E-05
268,0.09,6.47E-05
269,0.09,6.55E-05
270,0.09,6.62E-05
271,0.091,6.79E-05
272,0.091,7.03E-05
273,0.091,7.06E-05
274,0.092,6.96E-05
275,0.092,6.73E-05
276,0.092,6.54E-05
277,0.093,6.32E-05
278,0.093,6.08E-05
279,0.093,6.07E-05
280,0.094,5.91E-05
281,0.094,5.92E-05
282,0.094,5.87E-05
283,0.095,6.09E-05
284,0.095,6.01E-05
285,0.095,6.12E-05
286,0.096,6.24E-05
287,0.096,6.30E-05
288,0.096,6.23E-05
289,0.097,6.12E-05
290,0.097,6.27E-05
291,0.097,6.30E-05
292,0.098,6.28E-05
293,0.098,6.16E-05
294,0.098,6.11E-05
295,0.099,6.18E-05
296,0.099,6.22E-05
297,0.099,6.13E-05
298,0.1,6.08E-05
299,0.1,6.00E-05
300,0.1,5.99E-05
301,0.101,6.05E-05
302,0.101,6.16E-05
303,0.101,6.26E-05
304,0.102,6.32E-05
305,0.102,6.28E-05
306,0.102,6.10E-05
307,0.103,5.92E-05
308,0.103,5.98E-05
309,0.103,6.09E-05
310,0.104,5.95E-05
311,0.104,5.71E-05
312,0.104,5.62E-05
313,0.105,5.69E-05
314,0.105,5.91E-05
315,0.105,6.06E-05
316,0.106,6.17E-05
317,0.106,6.20E-05
318,0.106,6.32E-05
319,0.107,6.39E-05
320,0.107,6.33E-05
321,0.107,6.19E-05
